Number;Name;Spawn_Type;Average_Rarity_Score;Recommendation;Data_Sources;Structured_Spawn_Data_Score;Enhanced_Curated_Data_Score;PokemonDB_Catch_Rate_Score;Inferred_Score
194;Paldean Wooper;wild;7,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;10,00;
195;Quagsire;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
196;Espeon;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
197;Umbreon;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
198;Murkrow;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
199;Slowking;wild;2,75;Should Always Trade;PokemonDB Catch Rate;;;2,75;
199;Galarian Slowking;wild;2,75;Should Always Trade;PokemonDB Catch Rate;;;2,75;
200;Misdreavus;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
201;Unown;wild;4,91;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;1,00;8,82;
202;Wobbuffet;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
203;Girafarig;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
204;Pineco;wild;7,45;Safe to Transfer;PokemonDB Catch Rate;;;7,45;
205;Forretress;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
206;Dunsparce;wild;7,45;Safe to Transfer;PokemonDB Catch Rate;;;7,45;
207;Gligar;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
208;Steelix;wild;0,98;Should Always Trade;PokemonDB Catch Rate;;;0,98;
209;Snubbull;wild;5,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,45;
210;Granbull;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
211;Qwilfish;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
211;Hisuian Qwilfish;wild;2,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,76;
212;Scizor;wild;0,98;Should Always Trade;PokemonDB Catch Rate;;;0,98;
213;Shuckle;wild;7,45;Safe to Transfer;PokemonDB Catch Rate;;;7,45;
214;Heracross;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
215;Sneasel;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
215;Hisuian Sneasel;wild;2,18;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;2,35;
216;Teddiursa;wild;4,35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;4,71;
217;Ursaring;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
218;Slugma;wild;5,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,45;
219;Magcargo;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
220;Swinub;wild;6,41;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;8,82;
221;Piloswine;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
222;Corsola;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
222;Galarian Corsola;wild;2,68;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;2,35;
223;Remoraid;wild;5,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,45;
224;Octillery;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
225;Delibird;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
226;Mantine;wild;0,98;Should Always Trade;PokemonDB Catch Rate;;;0,98;
227;Skarmory;wild;0,98;Should Always Trade;PokemonDB Catch Rate;;;0,98;
228;Houndour;wild;4,35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;4,71;
229;Houndoom;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
230;Kingdra;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
231;Phanpy;wild;4,35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;4,71;
232;Donphan;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
233;Porygon2;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
234;Stantler;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
235;Smeargle;event-only;1,76;Never Transfer (Event Only);PokemonDB Catch Rate;;;1,76;
236;Tyrogue;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
237;Hitmontop;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
238;Smoochum;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
239;Elekid;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
240;Magby;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
241;Miltank;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
242;Blissey;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
243;Raikou;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
244;Entei;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
245;Suicune;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
246;Larvitar;wild;1,88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,76;
247;Pupitar;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
248;Tyranitar;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
249;Lugia;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
250;Ho-Oh;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
251;Celebi;legendary;1,76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1,76;
252;Treecko;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
253;Grovyle;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
254;Sceptile;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
255;Torchic;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
256;Combusken;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
257;Blaziken;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
258;Mudkip;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
259;Marshtomp;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
260;Swampert;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
261;Poochyena;wild;8,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;10,00;
262;Mightyena;wild;4,98;Depends on Circumstances;PokemonDB Catch Rate;;;4,98;
263;Zigzagoon;wild;9,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8,00;10,00;
263;Galarian Zigzagoon;wild;8,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;10,00;
264;Linoone;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
264;Galarian Linoone;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
265;Wurmple;wild;9,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8,00;10,00;
266;Silcoon;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
267;Beautifly;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
268;Cascoon;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
269;Dustox;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
270;Lotad;wild;8,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;10,00;
271;Lombre;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
272;Ludicolo;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
273;Seedot;wild;8,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;10,00;
274;Nuzleaf;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
275;Shiftry;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
276;Taillow;wild;7,42;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7,00;7,84;
277;Swellow;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
278;Wingull;wild;7,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7,00;7,45;
279;Pelipper;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
280;Ralts;wild;7,11;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;9,22;
281;Kirlia;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
282;Gardevoir;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
283;Surskit;wild;7,84;Safe to Transfer;PokemonDB Catch Rate;;;7,84;
284;Masquerain;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
285;Shroomish;wild;8,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;10,00;
286;Breloom;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
287;Slakoth;wild;10,00;Safe to Transfer;PokemonDB Catch Rate;;;10,00;
288;Vigoroth;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
289;Slaking;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
290;Nincada;wild;10,00;Safe to Transfer;PokemonDB Catch Rate;;;10,00;
291;Ninjask;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
292;Shedinja;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
293;Whismur;wild;7,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7,00;7,45;
294;Loudred;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
295;Exploud;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
296;Makuhita;wild;6,53;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;7,06;
297;Hariyama;wild;7,84;Safe to Transfer;PokemonDB Catch Rate;;;7,84;
298;Azurill;wild;5,88;Depends on Circumstances;PokemonDB Catch Rate;;;5,88;
299;Nosepass;wild;10,00;Safe to Transfer;PokemonDB Catch Rate;;;10,00;
300;Skitty;wild;10,00;Safe to Transfer;PokemonDB Catch Rate;;;10,00;
301;Delcatty;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
302;Sableye;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
303;Mawile;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
304;Aron;wild;6,03;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,06;
305;Lairon;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
306;Aggron;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
307;Meditite;wild;6,53;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;7,06;
308;Medicham;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
309;Electrike;wild;5,35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;4,71;
310;Manectric;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
311;Plusle;wild;6,42;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,84;
312;Minun;wild;6,42;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,84;
313;Volbeat;wild;5,88;Depends on Circumstances;PokemonDB Catch Rate;;;5,88;
314;Illumise;wild;5,88;Depends on Circumstances;PokemonDB Catch Rate;;;5,88;
315;Roselia;wild;5,44;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;5,88;
316;Gulpin;wild;7,41;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;8,82;
317;Swalot;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
318;Carvanha;wild;7,41;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;8,82;
319;Sharpedo;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
320;Wailmer;wild;5,45;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;4,90;
321;Wailord;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
322;Numel;wild;8,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;10,00;
323;Camerupt;wild;5,88;Depends on Circumstances;PokemonDB Catch Rate;;;5,88;
324;Torkoal;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
325;Spoink;wild;10,00;Safe to Transfer;PokemonDB Catch Rate;;;10,00;
326;Grumpig;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
327;Spinda;event-only;10,00;Never Transfer (Event Only);PokemonDB Catch Rate;;;10,00;
328;Trapinch;wild;10,00;Safe to Transfer;PokemonDB Catch Rate;;;10,00;
329;Vibrava;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
330;Flygon;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
331;Cacnea;wild;6,73;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;7,45;
332;Cacturne;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
333;Swablu;wild;8,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7,00;10,00;
334;Altaria;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
335;Zangoose;wild;3,26;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;3,53;
336;Seviper;wild;3,26;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;3,53;
337;Lunatone;wild;2,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,76;
338;Solrock;wild;2,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,76;
339;Barboach;wild;7,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7,00;7,45;
340;Whiscash;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
341;Corphish;wild;6,02;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;8,04;
342;Crawdaunt;wild;6,08;Safe to Transfer;PokemonDB Catch Rate;;;6,08;
343;Baltoy;wild;7,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;10,00;
344;Claydol;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
345;Lileep;wild;2,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,76;
346;Cradily;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
347;Anorith;wild;2,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,76;
348;Armaldo;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
349;Feebas;wild;6,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;10,00;
350;Milotic;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
351;Castform;wild;2,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;1,76;
352;Kecleon;event-only;4,92;Never Transfer (Event Only);Enhanced Curated Data, PokemonDB Catch Rate;;2,00;7,84;
353;Shuppet;wild;6,41;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;8,82;
354;Banette;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
355;Duskull;wild;5,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,45;
356;Dusclops;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
357;Tropius;wild;5,42;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;7,84;
358;Chimecho;wild;1,88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,76;
359;Absol;wild;1,59;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,18;
360;Wynaut;wild;3,95;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;4,90;
361;Snorunt;wild;5,73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;7,45;
362;Glalie;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
363;Spheal;wild;7,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;10,00;
364;Sealeo;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
365;Walrein;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
366;Clamperl;wild;6,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;10,00;
367;Huntail;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
368;Gorebyss;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
369;Relicanth;wild;1,49;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;0,98;
370;Luvdisc;wild;6,41;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4,00;8,82;
371;Bagon;wild;1,88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,76;
372;Shelgon;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
373;Salamence;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
374;Beldum;wild;1,06;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;0,12;
375;Metang;wild;0,12;Should Always Trade;PokemonDB Catch Rate;;;0,12;
376;Metagross;wild;0,12;Should Always Trade;PokemonDB Catch Rate;;;0,12;
377;Regirock;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
378;Regice;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
379;Registeel;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
380;Latias;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
381;Latios;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
382;Kyogre;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
383;Groudon;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
384;Rayquaza;legendary;1,76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1,76;
385;Jirachi;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
386;Deoxys;legendary;0,12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0,12;
387;Turtwig;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
388;Grotle;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
389;Torterra;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
390;Chimchar;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
391;Monferno;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
392;Infernape;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
393;Piplup;wild;3,88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;1,76;
394;Prinplup;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
395;Empoleon;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
396;Starly;wild;9,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8,00;10,00;
397;Staravia;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
398;Staraptor;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
399;Bidoof;wild;9,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;9,00;10,00;
400;Bibarel;wild;4,98;Depends on Circumstances;PokemonDB Catch Rate;;;4,98;
401;Kricketot;wild;8,00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;10,00;
402;Kricketune;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
403;Shinx;wild;7,61;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;9,22;
404;Luxio;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
405;Luxray;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
406;Budew;wild;10,00;Safe to Transfer;PokemonDB Catch Rate;;;10,00;
407;Roserade;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
408;Cranidos;wild;1,88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,76;
409;Rampardos;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
410;Shieldon;wild;1,88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,76;
411;Bastiodon;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
412;Burmy;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
413;Wormadam;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
414;Mothim;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
415;Combee;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
416;Vespiquen;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
417;Pachirisu;wild;7,84;Safe to Transfer;PokemonDB Catch Rate;;;7,84;
418;Buizel;wild;6,73;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;7,45;
419;Floatzel;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
420;Cherubi;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
421;Cherrim;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
422;Shellos;wild;6,73;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;7,45;
423;Gastrodon;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
424;Ambipom;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
425;Drifloon;wild;4,95;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;4,90;
426;Drifblim;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
427;Buneary;wild;6,73;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;7,45;
428;Lopunny;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
429;Mismagius;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
430;Honchkrow;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
431;Glameow;wild;6,23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;7,45;
432;Purugly;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
433;Chingling;wild;3,35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;4,71;
434;Stunky;wild;6,91;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;8,82;
435;Skuntank;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
436;Bronzor;wild;7,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5,00;10,00;
437;Bronzong;wild;3,53;Depends on Circumstances;PokemonDB Catch Rate;;;3,53;
438;Bonsly;wild;6,50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;10,00;
439;Mime Jr.;wild;3,84;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;5,69;
440;Happiny;wild;3,55;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;5,10;
441;Chatot;event-only;1,09;Never Transfer (Event Only);Enhanced Curated Data, PokemonDB Catch Rate;;1,00;1,18;
442;Spiritomb;event-only;2,46;Never Transfer (Event Only);Enhanced Curated Data, PokemonDB Catch Rate;;1,00;3,92;
443;Gible;wild;1,38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1,00;1,76;
444;Gabite;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
445;Garchomp;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
446;Munchlax;wild;1,98;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;1,96;
447;Riolu;wild;2,47;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;2,94;
448;Lucario;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
449;Hippopotas;wild;5,49;Depends on Circumstances;PokemonDB Catch Rate;;;5,49;
450;Hippowdon;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
451;Skorupi;wild;4,71;Depends on Circumstances;PokemonDB Catch Rate;;;4,71;
452;Drapion;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
453;Croagunk;wild;5,49;Depends on Circumstances;PokemonDB Catch Rate;;;5,49;
454;Toxicroak;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
455;Carnivine;wild;4,92;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2,00;7,84;
456;Finneon;wild;6,73;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;7,45;
457;Lumineon;wild;2,94;Should Always Trade;PokemonDB Catch Rate;;;2,94;
458;Mantyke;wild;1,99;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3,00;0,98;
459;Snover;wild;5,35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6,00;4,71;
460;Abomasnow;wild;2,35;Should Always Trade;PokemonDB Catch Rate;;;2,35;
461;Weavile;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
462;Magnezone;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
463;Lickilicky;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
464;Rhyperior;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
465;Tangrowth;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
466;Electivire;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
467;Magmortar;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
468;Togekiss;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
469;Yanmega;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
470;Leafeon;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
471;Glaceon;wild;1,76;Should Always Trade;PokemonDB Catch Rate;;;1,76;
472;Gliscor;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
473;Mamoswine;wild;1,96;Should Always Trade;PokemonDB Catch Rate;;;1,96;
474;Porygon-Z;wild;1,18;Should Always Trade;PokemonDB Catch Rate;;;1,18;
