Number;Name;Spawn_Type;Average_Rarity_Score;Recommendation;Data_Sources;Structured_Spawn_Data_Score;Enhanced_Curated_Data_Score;PokemonDB_Catch_Rate_Score;rarity_score_final
182;Bellossom;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
183;Marill;wild;7.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7.00;7.45;5.79
184;Azumarill;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
185;Sudowoodo;wild;2.55;Should Always Trade;PokemonDB Catch Rate;;;2.55;0.00
186;Politoed;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
187;Hoppip;wild;8.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7.00;10.00;7.78
188;Skiploom;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
189;Jumpluff;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
190;Aipom;wild;2.88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;1.76;0.78
191;Sunkern;wild;9.22;Safe to Transfer;PokemonDB Catch Rate;;;9.22;0.00
192;Sunflora;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
193;Yanma;wild;3.47;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;2.94;1.31
194;Wooper;wild;8.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7.00;10.00;7.78
194;Paldean Wooper;wild;7.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;10.00;5.56
195;Quagsire;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
196;Espeon;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
197;Umbreon;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
198;Murkrow;wild;1.18;Should Always Trade;PokemonDB Catch Rate;;;1.18;0.00
199;Slowking;wild;2.75;Should Always Trade;PokemonDB Catch Rate;;;2.75;0.00
199;Galarian Slowking;wild;2.75;Should Always Trade;PokemonDB Catch Rate;;;2.75;0.00
200;Misdreavus;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
201;Unown;wild;4.91;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;1.00;8.82;0.98
202;Wobbuffet;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
203;Girafarig;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
204;Pineco;wild;7.45;Safe to Transfer;PokemonDB Catch Rate;;;7.45;0.00
205;Forretress;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
206;Dunsparce;wild;7.45;Safe to Transfer;PokemonDB Catch Rate;;;7.45;0.00
207;Gligar;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
208;Steelix;wild;0.98;Should Always Trade;PokemonDB Catch Rate;;;0.98;0.00
209;Snubbull;wild;5.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.45;3.31
210;Granbull;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
211;Qwilfish;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
211;Hisuian Qwilfish;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
212;Scizor;wild;0.98;Should Always Trade;PokemonDB Catch Rate;;;0.98;0.00
213;Shuckle;wild;7.45;Safe to Transfer;PokemonDB Catch Rate;;;7.45;0.00
214;Heracross;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
215;Sneasel;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
215;Hisuian Sneasel;wild;2.18;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;2.35;0.52
216;Teddiursa;wild;4.35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;4.71;2.09
217;Ursaring;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
218;Slugma;wild;5.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.45;3.31
219;Magcargo;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
220;Swinub;wild;6.41;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;8.82;3.92
221;Piloswine;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
222;Corsola;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
222;Galarian Corsola;wild;2.68;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;2.35;0.78
223;Remoraid;wild;5.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.45;3.31
224;Octillery;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
225;Delibird;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
226;Mantine;wild;0.98;Should Always Trade;PokemonDB Catch Rate;;;0.98;0.00
227;Skarmory;wild;0.98;Should Always Trade;PokemonDB Catch Rate;;;0.98;0.00
228;Houndour;wild;4.35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;4.71;2.09
229;Houndoom;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
230;Kingdra;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
231;Phanpy;wild;4.35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;4.71;2.09
232;Donphan;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
233;Porygon2;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
234;Stantler;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
235;Smeargle;event-only;1.76;Never Transfer (Event Only);PokemonDB Catch Rate;;;1.76;0.00
236;Tyrogue;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
237;Hitmontop;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
238;Smoochum;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
239;Elekid;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
240;Magby;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
241;Miltank;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
242;Blissey;wild;1.18;Should Always Trade;PokemonDB Catch Rate;;;1.18;0.00
243;Raikou;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
244;Entei;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
245;Suicune;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
246;Larvitar;wild;1.88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;1.76;0.39
247;Pupitar;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
248;Tyranitar;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
249;Lugia;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
250;Ho-Oh;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
251;Celebi;legendary;1.76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1.76;0.00
252;Treecko;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
253;Grovyle;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
254;Sceptile;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
255;Torchic;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
256;Combusken;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
257;Blaziken;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
258;Mudkip;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
259;Marshtomp;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
260;Swampert;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
261;Poochyena;wild;8.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;10.00;6.67
262;Mightyena;wild;4.98;Depends on Circumstances;PokemonDB Catch Rate;;;4.98;0.00
263;Zigzagoon;wild;9.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8.00;10.00;8.89
263;Galarian Zigzagoon;wild;8.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;10.00;6.67
264;Linoone;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
264;Galarian Linoone;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
265;Wurmple;wild;9.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8.00;10.00;8.89
266;Silcoon;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
267;Beautifly;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
268;Cascoon;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
269;Dustox;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
270;Lotad;wild;8.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;10.00;6.67
271;Lombre;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
272;Ludicolo;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
273;Seedot;wild;8.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;10.00;6.67
274;Nuzleaf;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
275;Shiftry;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
276;Taillow;wild;7.42;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7.00;7.84;6.10
277;Swellow;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
278;Wingull;wild;7.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7.00;7.45;5.79
279;Pelipper;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
280;Ralts;wild;7.11;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;9.22;5.12
281;Kirlia;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
282;Gardevoir;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
283;Surskit;wild;7.84;Safe to Transfer;PokemonDB Catch Rate;;;7.84;0.00
284;Masquerain;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
285;Shroomish;wild;8.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;10.00;6.67
286;Breloom;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
287;Slakoth;wild;10.00;Safe to Transfer;PokemonDB Catch Rate;;;10.00;0.00
288;Vigoroth;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
289;Slaking;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
290;Nincada;wild;10.00;Safe to Transfer;PokemonDB Catch Rate;;;10.00;0.00
291;Ninjask;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
292;Shedinja;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
293;Whismur;wild;7.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7.00;7.45;5.79
294;Loudred;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
295;Exploud;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
296;Makuhita;wild;6.53;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;7.06;4.71
297;Hariyama;wild;7.84;Safe to Transfer;PokemonDB Catch Rate;;;7.84;0.00
298;Azurill;wild;5.88;Depends on Circumstances;PokemonDB Catch Rate;;;5.88;0.00
299;Nosepass;wild;10.00;Safe to Transfer;PokemonDB Catch Rate;;;10.00;0.00
300;Skitty;wild;10.00;Safe to Transfer;PokemonDB Catch Rate;;;10.00;0.00
301;Delcatty;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
302;Sableye;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
303;Mawile;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
304;Aron;wild;6.03;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.06;3.92
305;Lairon;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
306;Aggron;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
307;Meditite;wild;6.53;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;7.06;4.71
308;Medicham;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
309;Electrike;wild;5.35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;4.71;3.14
310;Manectric;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
311;Plusle;wild;6.42;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.84;4.36
312;Minun;wild;6.42;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.84;4.36
313;Volbeat;wild;5.88;Depends on Circumstances;PokemonDB Catch Rate;;;5.88;0.00
314;Illumise;wild;5.88;Depends on Circumstances;PokemonDB Catch Rate;;;5.88;0.00
315;Roselia;wild;5.44;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;5.88;3.27
316;Gulpin;wild;7.41;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;8.82;5.88
317;Swalot;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
318;Carvanha;wild;7.41;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;8.82;5.88
319;Sharpedo;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
320;Wailmer;wild;5.45;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;4.90;3.27
321;Wailord;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
322;Numel;wild;8.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;10.00;6.67
323;Camerupt;wild;5.88;Depends on Circumstances;PokemonDB Catch Rate;;;5.88;0.00
324;Torkoal;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
325;Spoink;wild;10.00;Safe to Transfer;PokemonDB Catch Rate;;;10.00;0.00
326;Grumpig;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
327;Spinda;event-only;10.00;Never Transfer (Event Only);PokemonDB Catch Rate;;;10.00;0.00
328;Trapinch;wild;10.00;Safe to Transfer;PokemonDB Catch Rate;;;10.00;0.00
329;Vibrava;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
330;Flygon;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
331;Cacnea;wild;6.73;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;7.45;4.97
332;Cacturne;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
333;Swablu;wild;8.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7.00;10.00;7.78
334;Altaria;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
335;Zangoose;wild;3.26;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;3.53;1.18
336;Seviper;wild;3.26;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;3.53;1.18
337;Lunatone;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
338;Solrock;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
339;Barboach;wild;7.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;7.00;7.45;5.79
340;Whiscash;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
341;Corphish;wild;6.02;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;8.04;3.57
342;Crawdaunt;wild;6.08;Safe to Transfer;PokemonDB Catch Rate;;;6.08;0.00
343;Baltoy;wild;7.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;10.00;4.44
344;Claydol;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
345;Lileep;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
346;Cradily;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
347;Anorith;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
348;Armaldo;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
349;Feebas;wild;6.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;10.00;2.22
350;Milotic;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
351;Castform;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
352;Kecleon;event-only;4.92;Never Transfer (Event Only);Enhanced Curated Data, PokemonDB Catch Rate;;2.00;7.84;1.74
353;Shuppet;wild;6.41;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;8.82;3.92
354;Banette;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
355;Duskull;wild;5.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.45;3.31
356;Dusclops;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
357;Tropius;wild;5.42;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;7.84;2.61
358;Chimecho;wild;1.88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;1.76;0.39
359;Absol;wild;1.59;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;1.18;0.26
360;Wynaut;wild;3.95;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;4.90;1.63
361;Snorunt;wild;5.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.45;3.31
362;Glalie;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
363;Spheal;wild;7.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;10.00;4.44
364;Sealeo;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
365;Walrein;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
366;Clamperl;wild;6.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;10.00;3.33
367;Huntail;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
368;Gorebyss;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
369;Relicanth;wild;1.49;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;0.98;0.22
370;Luvdisc;wild;6.41;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;8.82;3.92
371;Bagon;wild;1.88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;1.76;0.39
372;Shelgon;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
373;Salamence;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
374;Beldum;wild;1.06;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;0.12;0.03
375;Metang;wild;0.12;Should Always Trade;PokemonDB Catch Rate;;;0.12;0.00
376;Metagross;wild;0.12;Should Always Trade;PokemonDB Catch Rate;;;0.12;0.00
377;Regirock;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
378;Regice;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
379;Registeel;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
380;Latias;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
381;Latios;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
382;Kyogre;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
383;Groudon;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
384;Rayquaza;legendary;1.76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1.76;0.00
385;Jirachi;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
386;Deoxys;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
387;Turtwig;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
388;Grotle;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
389;Torterra;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
390;Chimchar;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
391;Monferno;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
392;Infernape;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
393;Piplup;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
394;Prinplup;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
395;Empoleon;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
396;Starly;wild;9.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8.00;10.00;8.89
397;Staravia;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
398;Staraptor;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
399;Bidoof;wild;9.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;9.00;10.00;10.00
400;Bibarel;wild;4.98;Depends on Circumstances;PokemonDB Catch Rate;;;4.98;0.00
401;Kricketot;wild;8.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;10.00;6.67
402;Kricketune;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
403;Shinx;wild;7.61;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;9.22;6.15
404;Luxio;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
405;Luxray;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
406;Budew;wild;10.00;Safe to Transfer;PokemonDB Catch Rate;;;10.00;0.00
407;Roserade;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
408;Cranidos;wild;1.88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;1.76;0.39
409;Rampardos;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
410;Shieldon;wild;1.88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;1.76;0.39
411;Bastiodon;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
412;Burmy;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
413;Wormadam;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
414;Mothim;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
415;Combee;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
416;Vespiquen;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
417;Pachirisu;wild;7.84;Safe to Transfer;PokemonDB Catch Rate;;;7.84;0.00
418;Buizel;wild;6.73;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;7.45;4.97
419;Floatzel;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
420;Cherubi;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
421;Cherrim;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
422;Shellos;wild;6.73;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;7.45;4.97
423;Gastrodon;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
424;Ambipom;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
425;Drifloon;wild;4.95;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;4.90;2.72
426;Drifblim;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
427;Buneary;wild;6.73;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;7.45;4.97
428;Lopunny;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
429;Mismagius;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
430;Honchkrow;wild;1.18;Should Always Trade;PokemonDB Catch Rate;;;1.18;0.00
431;Glameow;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
432;Purugly;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
433;Chingling;wild;3.35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;4.71;1.05
434;Stunky;wild;6.91;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;8.82;4.90
435;Skuntank;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
436;Bronzor;wild;7.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;10.00;5.56
437;Bronzong;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
438;Bonsly;wild;6.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;10.00;3.33
439;Mime Jr.;wild;3.84;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;5.69;1.26
440;Happiny;wild;3.55;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;5.10;1.13
441;Chatot;event-only;1.09;Never Transfer (Event Only);Enhanced Curated Data, PokemonDB Catch Rate;;1.00;1.18;0.13
442;Spiritomb;event-only;2.46;Never Transfer (Event Only);Enhanced Curated Data, PokemonDB Catch Rate;;1.00;3.92;0.44
443;Gible;wild;1.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1.00;1.76;0.20
